"date","Pollster","Type","Candidate1","Candidate2","Candidate1pct","Candidate2pct","Obama.Romney","State"
2012-08-15,"Purple Strategies","Florida","Obama","Romney",47,48,-1,"florida"
2012-08-15,"Purple Strategies","Colorado","Obama","Romney",49,46,3,"colorado"
2012-08-15,"Purple Strategies","Virginia","Obama","Romney",45,48,-3,"virginia"
2012-08-14,"PPP (D)","Ohio","Obama","Romney",48,45,3,"ohio"
2012-08-14,"Rasmussen Reports","Ohio","Obama","Romney",45,45,0,"ohio"
2012-08-14,"PPP (D)","New Hampshire","Obama","Romney",51,45,6,"new hampshire"
2012-08-13,"SurveyUSA","Missouri","Obama","Romney",44,45,-1,"missouri"
2012-08-10,"Rasmussen Reports","Iowa","Obama","Romney",44,46,-2,"iowa"
2012-08-08,"CBS/NYT/Quinnipiac","Virginia","Obama","Romney",49,45,4,"virginia"
2012-08-08,"CBS/NYT/Quinnipiac","Colorado","Obama","Romney",45,50,-5,"colorado"
2012-08-08,"CBS/NYT/Quinnipiac","Wisconsin","Obama","Romney",51,45,6,"wisconsin"
2012-08-07,"PPP (D)","North Carolina","Obama","Romney",49,46,3,"north carolina"
2012-08-07,"Rasmussen Reports","Colorado","Obama","Romney",47,47,0,"colorado"
2012-08-07,"PPP (D)","Colorado","Obama","Romney",49,43,6,"colorado"
2012-08-05,"Rasmussen Reports","Indiana","Obama","Romney",35,51,-16,"indiana"
2012-08-04,"SurveyUSA","Washington","Obama","Romney",54,37,17,"washington"
2012-08-02,"Rasmussen Reports","North Carolina","Obama","Romney",44,49,-5,"north carolina"
2012-08-02,"Fairleigh Dickinson","New Jersey","Obama","Romney",49,36,13,"new jersey"
2012-08-01,"EPIC-MRA","Michigan","Obama","Romney",48,42,6,"michigan"
2012-08-01,"PPP (D)","Arizona","Obama","Romney",41,52,-11,"arizona"
2012-08-01,"CBS/NYT/Quinnipiac","Ohio","Obama","Romney",50,44,6,"ohio"
2012-08-01,"CBS/NYT/Quinnipiac","Florida","Obama","Romney",51,45,6,"florida"
2012-08-01,"CBS/NYT/Quinnipiac","Pennsylvania","Obama","Romney",53,42,11,"pennsylvania"
2012-08-01,"PPP (D)","Connecticut","Obama","Romney",51,43,8,"connecticut"
2012-07-31,"PPP (D)","Florida","Obama","Romney",48,47,1,"florida"
2012-07-31,"Rasmussen Reports","Missouri","Obama","Romney",44,50,-6,"missouri"
2012-07-28,"Post-Dispatch/Mason-Dixon*","Missouri","Obama","Romney",42,51,-9,"missouri"
2012-07-27,"Rasmussen Reports","Wisconsin","Obama","Romney",49,46,3,"wisconsin"
2012-07-27,"WeAskAmerica*","Ohio","Obama","Romney",48,40,8,"ohio"
2012-07-26,"Rasmussen Reports","Nevada","Obama","Romney",50,45,5,"nevada"
2012-07-26,"WeAskAmerica*","Missouri","Obama","Romney",40,49,-9,"missouri"
2012-07-26,"Monmouth University","New Jersey","Obama","Romney",50,42,8,"new jersey"
2012-07-25,"Mitchell Research","Michigan","Obama","Romney",44,45,-1,"michigan"
2012-07-25,"PPP (D)","Michigan","Obama","Romney",53,39,14,"michigan"
2012-07-25,"PPP (D)","Pennsylvania","Obama","Romney",49,43,6,"pennsylvania"
2012-07-25,"Quinnipiac","New York","Obama","Romney",55,32,23,"new york"
2012-07-24,"Rasmussen Reports","Michigan","Obama","Romney",48,42,6,"michigan"
2012-07-23,"KSTP/SurveyUSA","Minnesota","Obama","Romney",46,40,6,"minnesota"
2012-07-21,"SurveyUSA","Florida","Obama","Romney",48,43,5,"florida"
2012-07-20,"Civitas (R)","North Carolina","Obama","Romney",48,49,-1,"north carolina"
2012-07-20,"Rasmussen Reports","Pennsylvania","Obama","Romney",48,44,4,"pennsylvania"
2012-07-20,"SurveyUSA","Washington","Obama","Romney",46,37,9,"washington"
2012-07-19,"Quinnipiac","Virginia","Obama","Romney",44,44,0,"virginia"
2012-07-19,"Rasmussen Reports","Ohio","Obama","Romney",47,45,2,"ohio"
2012-07-19,"WeAskAmerica*","Nevada","Obama","Romney",49,43,6,"nevada"
2012-07-19,"AFP/Magellan (R)","Nevada","Obama","Romney",50,46,4,"nevada"
2012-07-19,"WeAskAmerica","Wisconsin","Obama","Romney",49,42,7,"wisconsin"
2012-07-18,"Rasmussen Reports","Virginia","Obama","Romney",47,46,1,"virginia"
2012-07-18,"PPP (D)","New Mexico","Obama","Romney",49,44,5,"new mexico"
2012-07-18,"Quinnipiac","New Jersey","Obama","Romney",49,38,11,"new jersey"
2012-07-17,"PPP (D)","Iowa","Obama","Romney",48,43,5,"iowa"
2012-07-17,"Siena","New York","Obama","Romney",61,34,27,"new york"
2012-07-16,"Purple Strategies","Ohio","Obama","Romney",48,45,3,"ohio"
2012-07-16,"Purple Strategies","Florida","Obama","Romney",45,48,-3,"florida"
2012-07-16,"Purple Strategies","Virginia","Obama","Romney",46,44,2,"virginia"
2012-07-16,"Purple Strategies","Colorado","Obama","Romney",45,44,1,"colorado"
2012-07-14,"Mason-Dixon*","Florida","Obama","Romney",46,45,1,"florida"
2012-07-13,"Rasmussen Reports","North Dakota","Obama","Romney",36,51,-15,"north dakota"
2012-07-12,"Project New America/Myers (D)","North Carolina","Obama","Romney",48,49,-1,"north carolina"
2012-07-11,"WeAskAmerica","Pennsylvania","Obama","Romney",47,40,7,"pennsylvania"
2012-07-11,"Marquette University","Wisconsin","Obama","Romney",51,43,8,"wisconsin"
2012-07-11,"PPP (D)","Wisconsin","Obama","Romney",50,44,6,"wisconsin"
2012-07-11,"WeAskAmerica","New Mexico","Obama","Romney",51,40,11,"new mexico"
2012-07-11,"Critical Insights","Maine","Obama","Romney",49,35,14,"maine"
2012-07-10,"PPP (D)","Virginia","Obama","Romney",50,42,8,"virginia"
2012-07-10,"Rasmussen Reports","Florida","Obama","Romney",45,46,-1,"florida"
2012-07-10,"PPP (D)","North Carolina","Obama","Romney",47,46,1,"north carolina"
2012-07-06,"Field","California","Obama","Romney",55,37,18,"california"
2012-07-03,"Civitas (R)","North Carolina","Obama","Romney",45,50,-5,"north carolina"
2012-07-03,"WeAskAmerica","Florida","Obama","Romney",46,45,1,"florida"
2012-06-28,"NBC News/Marist","New Hampshire","Obama","Romney",45,45,0,"new hampshire"
2012-06-28,"NBC News/Marist","Michigan","Obama","Romney",47,43,4,"michigan"
2012-06-28,"NBC News/Marist","North Carolina","Obama","Romney",46,44,2,"north carolina"
2012-06-27,"Quinnipiac","Florida","Obama","Romney",45,41,4,"florida"
2012-06-27,"Quinnipiac","Ohio","Obama","Romney",47,38,9,"ohio"
2012-06-27,"Quinnipiac","Pennsylvania","Obama","Romney",45,39,6,"pennsylvania"
2012-06-27,"Rasmussen Reports","Arizona","Obama","Romney",41,54,-13,"arizona"
2012-06-27,"PPP (D)","Massachusetts","Obama","Romney",55,39,16,"massachusetts"
2012-06-26,"PPP (D)","Ohio","Obama","Romney",47,44,3,"ohio"
2012-06-26,"WeAskAmerica","Virginia","Obama","Romney",43,48,-5,"virginia"
2012-06-26,"Rasmussen Reports","North Carolina","Obama","Romney",44,47,-3,"north carolina"
2012-06-26,"WeAskAmerica","Colorado","Obama","Romney",47,43,4,"colorado"
2012-06-26,"PPP (D)","Oregon","Obama","Romney",50,42,8,"oregon"
2012-06-25,"Deseret News/KSL","Utah","Obama","Romney",26,68,-42,"utah"
2012-06-21,"Quinnipiac","Florida","Obama","Romney",46,42,4,"florida"
2012-06-20,"Marquette University","Wisconsin","Obama","Romney",49,43,6,"wisconsin"
2012-06-20,"WeAskAmerica","Michigan","Obama","Romney",43,45,-2,"michigan"
2012-06-20,"WeAskAmerica","Iowa","Obama","Romney",45,44,1,"iowa"
2012-06-20,"PPP (D)","Washington","Obama","Romney",54,41,13,"washington"
2012-06-20,"Rasmussen Reports","Montana","Obama","Romney",42,51,-9,"montana"
2012-06-19,"Project New America/PPP (D)","Arizona","Obama","Romney",46,49,-3,"arizona"
2012-06-19,"PPP (D)","Colorado","Obama","Romney",49,42,7,"colorado"
2012-06-19,"Elway Poll","Washington","Obama","Romney",49,41,8,"washington"
2012-06-18,"WBUR/MassINC","Maine","Obama","Romney",48,34,14,"maine"
2012-06-15,"Rasmussen Reports","Michigan","Obama","Romney",50,42,8,"michigan"
2012-06-14,"Baydoun/Foster (D)","Michigan","Obama","Romney",47,46,1,"michigan"
2012-06-14,"Rutgers-Eagleton","New Jersey","Obama","Romney",56,33,23,"new jersey"
2012-06-13,"Rasmussen Reports","Wisconsin","Obama","Romney",44,47,-3,"wisconsin"
2012-06-13,"PPP (D)","Nevada","Obama","Romney",48,42,6,"nevada"
2012-06-12,"Quinnipiac","Pennsylvania","Obama","Romney",46,40,6,"pennsylvania"
2012-06-12,"Rasmussen Reports","Iowa","Obama","Romney",46,47,-1,"iowa"
2012-06-12,"PPP (D)","North Carolina","Obama","Romney",46,48,-2,"north carolina"
2012-06-12,"Siena","New York","Obama","Romney",59,35,24,"new york"
2012-06-11,"Mason-Dixon","North Dakota","Obama","Romney",39,52,-13,"north dakota"
2012-06-08,"Rasmussen Reports","Missouri","Obama","Romney",42,49,-7,"missouri"
2012-06-07,"Quinnipiac","Virginia","Obama","Romney",47,42,5,"virginia"
2012-06-06,"Franklin & Marshall","Pennsylvania","Obama","Romney",48,36,12,"pennsylvania"
2012-06-06,"Quinnipiac","Connecticut","Obama","Romney",50,38,12,"connecticut"
2012-06-05,"PPP (D)","Florida","Obama","Romney",50,46,4,"florida"
2012-06-04,"Rasmussen Reports","Virginia","Obama","Romney",47,47,0,"virginia"
2012-06-03,"Western NE University","Massachusetts","Obama","Romney",56,34,22,"massachusetts"
2012-06-02,"Boston Globe","Massachusetts","Obama","Romney",46,34,12,"massachusetts"
2012-06-01,"Field","California","Obama","Romney",48,32,16,"california"
2012-05-31,"Rasmussen Reports","Ohio","Obama","Romney",44,46,-2,"ohio"
2012-05-31,"NBC News/Marist","Nevada","Obama","Romney",48,46,2,"nevada"
2012-05-31,"NBC News/Marist","Colorado","Obama","Romney",46,45,1,"colorado"
2012-05-31,"NBC News/Marist","Iowa","Obama","Romney",44,44,0,"iowa"
2012-05-31,"Quinnipiac","New York","Obama","Romney",56,31,25,"new york"
2012-05-30,"PPP (D)","Missouri","Obama","Romney",45,44,1,"missouri"
2012-05-30,"Marquette University","Wisconsin","Obama","Romney",51,43,8,"wisconsin"
2012-05-29,"Project New America/Keating (D)","Colorado","Obama","Romney",48,44,4,"colorado"
2012-05-29,"LA Times/USC","California","Obama","Romney",56,37,19,"california"
2012-05-29,"PPP (D)","Michigan","Obama","Romney",53,39,14,"michigan"
2012-05-24,"NBC News/Marist","Ohio","Obama","Romney",48,42,6,"ohio"
2012-05-24,"NBC News/Marist","Florida","Obama","Romney",48,44,4,"florida"
2012-05-24,"NBC News/Marist","Virginia","Obama","Romney",48,44,4,"virginia"
2012-05-24,"Suffolk/7News","Massachusetts","Obama","Romney",59,34,25,"massachusetts"
2012-05-23,"Rasmussen Reports","Pennsylvania","Obama","Romney",47,41,6,"pennsylvania"
2012-05-23,"Quinnipiac","Florida","Obama","Romney",41,47,-6,"florida"
2012-05-23,"PPP (D)","Arizona","Obama","Romney",43,50,-7,"arizona"
2012-05-22,"SurveyUSA","North Carolina","Obama","Romney",44,45,-1,"north carolina"
2012-05-22,"PPP (D)","Pennsylvania","Obama","Romney",50,42,8,"pennsylvania"
2012-05-22,"Castleton State College","Vermont","Obama","Romney",59,28,31,"vermont"
2012-05-21,"Sooner Poll","Oklahoma","Obama","Romney",27,62,-35,"oklahoma"
2012-05-20,"Tennessean/Vanderbilt","Tennessee","Obama","Romney",40,47,-7,"tennessee"
2012-05-18,"Rasmussen Reports","Nebraska","Obama","Romney",39,53,-14,"nebraska"
2012-05-16,"Rasmussen Reports","North Carolina","Obama","Romney",43,51,-8,"north carolina"
2012-05-16,"PPP (D)","North Carolina","Obama","Romney",48,47,1,"north carolina"
2012-05-16,"Marquette University","Wisconsin","Obama","Romney",46,46,0,"wisconsin"
2012-05-16,"Quinnipiac","New Jersey","Obama","Romney",49,39,10,"new jersey"
2012-05-15,"PPP (D)","New Hampshire","Obama","Romney",53,41,12,"new hampshire"
2012-05-15,"Daily Kos/PPP (D)","Wisconsin","Obama","Romney",47,46,1,"wisconsin"
2012-05-14,"SurveyUSA","Minnesota","Obama","Romney",52,38,14,"minnesota"
2012-05-14,"Siena","New York","Obama","Romney",57,37,20,"new york"
2012-05-13,"Critical Insights","Maine","Obama","Romney",50,42,8,"maine"
2012-05-12,"Glengariff Group (R)","Michigan","Obama","Romney",45,40,5,"michigan"
2012-05-12,"Landmark/Rosetta Stone","Georgia","Obama","Romney",40,51,-11,"georgia"
2012-05-11,"Rasmussen Reports","Wisconsin","Obama","Romney",49,45,4,"wisconsin"
2012-05-11,"SurveyUSA","Oregon","Obama","Romney",47,43,4,"oregon"
2012-05-11,"SurveyUSA","Washington","Obama","Romney",50,36,14,"washington"
2012-05-10,"Quinnipiac","Ohio","Obama","Romney",45,44,1,"ohio"
2012-05-09,"Suffolk/7News","Florida","Obama","Romney",46,45,1,"florida"
2012-05-09,"Rasmussen Reports","Massachusetts","Obama","Romney",56,35,21,"massachusetts"
2012-05-08,"PPP (D)","Ohio","Obama","Romney",50,43,7,"ohio"
2012-05-08,"PPP (D)","Iowa","Obama","Romney",51,41,10,"iowa"
2012-05-04,"Rasmussen Reports","Montana","Obama","Romney",44,51,-7,"montana"
2012-05-03,"Washington Post","Virginia","Obama","Romney",51,44,7,"virginia"
2012-05-03,"Quinnipiac","Ohio","Obama","Romney",44,42,2,"ohio"
2012-05-03,"Quinnipiac","Florida","Obama","Romney",43,44,-1,"florida"
2012-05-03,"Quinnipiac","Pennsylvania","Obama","Romney",47,39,8,"pennsylvania"
2012-05-03,"Magellan (R)","Arizona","Obama","Romney",43,52,-9,"arizona"
2012-05-02,"Marquette University","Wisconsin","Obama","Romney",51,42,9,"wisconsin"
2012-05-02,"Rasmussen Reports","Nevada","Obama","Romney",52,44,8,"nevada"
2012-05-02,"PPP (D)","Montana","Obama","Romney",43,48,-5,"montana"
2012-05-01,"PPP (D)","Virginia","Obama","Romney",51,43,8,"virginia"
2012-05-01,"SurveyUSA","North Carolina","Obama","Romney",47,43,4,"north carolina"
2012-04-27,"Rasmussen Reports","Florida","Obama","Romney",45,46,-1,"florida"
2012-04-25,"Rasmussen Reports","Virginia","Obama","Romney",44,45,-1,"virginia"
2012-04-25,"Behavior Research Center","Arizona","Obama","Romney",42,40,2,"arizona"
2012-04-25,"PPP (D)","New Mexico","Obama","Romney",54,40,14,"new mexico"
2012-04-25,"Purple Strategies","Ohio","Obama","Romney",49,44,5,"ohio"
2012-04-25,"Purple Strategies","Florida","Obama","Romney",44,47,-3,"florida"
2012-04-25,"Purple Strategies","Colorado","Obama","Romney",47,47,0,"colorado"
2012-04-25,"Purple Strategies","Virginia","Obama","Romney",48,46,2,"virginia"
2012-04-24,"WMUR/UNH","New Hampshire","Obama","Romney",51,42,9,"new hampshire"
2012-04-24,"Arizona State","Arizona","Obama","Romney",40,42,-2,"arizona"
2012-04-24,"PPP (D)","Texas","Obama","Romney",43,50,-7,"texas"
2012-04-20,"FOX News","Ohio","Obama","Romney",45,39,6,"ohio"
2012-04-20,"Rasmussen Reports","Ohio","Obama","Romney",46,42,4,"ohio"
2012-04-20,"FOX News","Florida","Obama","Romney",45,43,2,"florida"
2012-04-19,"Dartmouth","New Hampshire","Obama","Romney",42,44,-2,"new hampshire"
2012-04-19,"Rasmussen Reports","Missouri","Obama","Romney",45,48,-3,"missouri"
2012-04-18,"Marist","New York","Obama","Romney",57,35,22,"new york"
2012-04-17,"PPP (D)","Florida","Obama","Romney",50,45,5,"florida"
2012-04-16,"Daily Kos/PPP (D)","Wisconsin","Obama","Romney",50,44,6,"wisconsin"
2012-04-16,"guess","District of Columbia","Obama","Romney",60,30,30,"district of columbia"
2012-04-16,"PPP (D)","Rhode Island","Obama","Romney",54,37,17,"rhode island"
2012-04-16,"guess","Delaware","Obama","Romney",50,40,10,"delaware"
2012-04-16,"PPP (D)","Hawaii","Obama","Romney",59,32,27,"hawaii"
2012-04-16,"guess","Maryland","Obama","Romney",50,40,10,"maryland"
2012-04-16,"Rasmussen Reports","California","Obama","Romney",57,35,22,"california"
2012-04-16,"Quinnipiac","Connecticut","Obama","Romney",53,37,16,"connecticut"
2012-04-16,"Chicago Tribune","Illinois","Obama","Romney",56,35,21,"illinois"
2012-04-16,"guess","Alabama","Obama","Romney",35,60,-25,"alabama"
2012-04-16,"guess","Arkansas","Obama","Romney",35,60,-25,"arkansas"
2012-04-16,"SurveyUSA","Kansas","Obama","Romney",39,48,-9,"kansas"
2012-04-16,"Clarus Research","Louisiana","Obama","Romney",37,53,-16,"louisiana"
2012-04-16,"PPP (D)","Utah","Obama","Romney",31,63,-32,"utah"
2012-04-16,"guess","Wyoming","Obama","Romney",35,60,-25,"wyoming"
2012-04-16,"guess","Alaska","Obama","Romney",35,60,-25,"alaska"
2012-04-16,"guess","Idaho","Obama","Romney",35,60,-25,"idaho"
2012-04-16,"PPP (D)","Kentucky","Obama","Romney",40,48,-8,"kentucky"
2012-04-16,"PPP (D)","Mississippi","Obama","Romney",40,46,-6,"mississippi"
2012-04-16,"guess","North Dakota","Obama","Romney",35,60,-25,"north dakota"
2012-04-16,"PPP (D)","South Dakota","Obama","Romney",40,46,-6,"south dakota"
2012-04-16,"PPP (D)","West Virginia","Obama","Romney",33,54,-21,"west virginia"
2012-04-16,"Howey/DePauw","Indiana","Obama","Romney",40,49,-9,"indiana"
2012-05-24,"NBC News/Marist","South Carolina","Obama","Romney",40,46,-6,"south carolina"
